disco,month,official_order_found,effective_date,release_title,filename,official_url,notes
EEDC,2025-11,YES,2025-11,EEDC MYTO NOVEMBER 2025,EEDC_NOV_2025_126.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EEDC_NOV_2025_126.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EKEDP,2025-11,YES,2025-11,EKEDP MYTO NOVEMBER 2025,EKEDP_NOV_2025_125.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EKEDP_NOV_2025_125.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IBEDC,2025-11,YES,2025-11,IBEDC MYTO NOVEMBER 2025,IBEDC_NOV_2025_127.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IBEDC_NOV_2025_127.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IE,2025-11,YES,2025-11,IE MYTO NOVEMBER 2025,IE_NOV_2025_128.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IE_NOV_2025_128.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
JED,2025-11,YES,2025-11,JED MYTO NOVEMBER 2025,JED_NOV_2025_129.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/JED_NOV_2025_129.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KAEDC,2025-11,YES,2025-11,KAEDC MYTO NOVEMBER 2025,KAEDC_NOV_2025_130.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KAEDC_NOV_2025_130.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KEDCO,2025-11,YES,2025-11,KEDCO MYTO NOVEMBER 2025,KEDCO_NOV_2025_131.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KEDCO_NOV_2025_131.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
PHED,2025-11,YES,2025-11,PHED MYTO NOVEMBER 2025,PHED_NOV_2025_132.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/PHED_NOV_2025_132.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
YEDC,2025-11,YES,2025-11,YEDC MYTO NOVEMBER 2025,YEDC_NOV_2025_133.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/YEDC_NOV_2025_133.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
AEDC,2025-12,YES,2025-12,AEDC MYTO DECEMBER 2025,AEDC_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/AEDC_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
BEDC,2025-12,YES,2025-12,BEDC MYTO DECEMBER 2025,BEDC_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/BEDC_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
EEDC,2025-12,YES,2025-12,EEDC MYTO DECEMBER 2025,EEDC_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EEDC_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
EKEDP,2025-12,NO,2025-12,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
IBEDC,2025-12,YES,2025-12,IBEDC MYTO DECEMBER 2025,IBEDC_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IBEDC_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
IE,2025-12,YES,2025-12,IE MYTO DECEMBER 2025,IE_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IE_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
JED,2025-12,NO,2025-12,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
KAEDC,2025-12,YES,2025-12,KAEDC MYTO DECEMBER 2025,KAEDC_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KAEDC_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
KEDCO,2025-12,YES,2025-12,KEDCO MYTO DECECEMBER 2025,KEDCO_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KEDCO_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
PHED,2025-12,NO,2025-12,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
YEDC,2025-12,YES,2025-12,YEDC MYTO DECEMBER 2025,YEDC_MYTO_December_2025.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/YEDC_MYTO_December_2025.pdf,"NERC website publication date: December 1, 2025"
AEDC,2026-01,YES,2026-01,AEDC MYTO JANUARY 2026,AEDC_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/AEDC_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
BEDC,2026-01,YES,2026-01,BEDC MYTO JANUARY 2026,BEDC_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/BEDC_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
EEDC,2026-01,YES,2026-01,EEDC MYTO JANUARY 2026,EEDC_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EEDC_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
EKEDP,2026-01,YES,2026-01,EKEDP MYTO JANUARY 2026,EKEDP_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EKEDP_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
IBEDC,2026-01,YES,2026-01,IBEDC MYTO JANUARY 2026,IBEDC_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IBEDC_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
IE,2026-01,YES,2026-01,IE MYTO JANUARY 2026,IE_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IE_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
JED,2026-01,YES,2026-01,JED MYTO JANUARY 2026,JED_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/JED_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
KAEDC,2026-01,YES,2026-01,KAEDC MYTO JANUARY 2026,KAEDC_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KAEDC_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
KEDCO,2026-01,YES,2026-01,KEDCO MYTO JANUARY 2026,KEDCO_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KEDCO_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
PHED,2026-01,YES,2026-01,PHED MYTO JANUARY 2026,PHED_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/PHED_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
YEDC,2026-01,YES,2026-01,YEDC MYTO JANUARY 2026,YEDC_MYTO_JAN_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/YEDC_MYTO_JAN_2026.pdf,"NERC website publication date: January 1, 2026"
AEDC,2026-02,YES,2026-02,AEDC MYTO FEBRUARY 2026,AEDC_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/AEDC_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
BEDC,2026-02,YES,2026-02,BEDC MYTO FEBRUARY 2026,BEDC_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/BEDC_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
EEDC,2026-02,YES,2026-02,EEDC MYTO FEBRUARY 2026,EEDC_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EEDC_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
EKEDP,2026-02,YES,2026-02,EKEDP MYTO FEBRUARY 2026,EKEDP_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EKEDP_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
IBEDC,2026-02,YES,2026-02,IBEDC MYTO FEBRUARY 2026,IBEDC_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IBEDC_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
IE,2026-02,YES,2026-02,IE MYTO FEBRUARY 2026,IE_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IE_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
JED,2026-02,YES,2026-02,JED MYTO FEBRUARY 2026,JED_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/JED_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
KAEDC,2026-02,YES,2026-02,KAEDC MYTO FEBRUARY 2026,KAEDC_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KAEDC_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
KEDCO,2026-02,YES,2026-02,KEDCO MYTO FEBRUARY 2026,KEDCO_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KEDCO_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
PHED,2026-02,YES,2026-02,PHED MYTO FEBRUARY 2026,PHED_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/PHED_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
YEDC,2026-02,YES,2026-02,YEDC MYTO FEBRURAY 2026,YEDC_MYTO_FEB_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/YEDC_MYTO_FEB_2026.pdf,"NERC website publication date: February 1, 2026"
AEDC,2026-03,YES,2026-03,AEDC MYTO MARCH 2026,AEDC_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/AEDC_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
BEDC,2026-03,YES,2026-03,BEDC MYTO MARCH 2026,BEDC_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/BEDC_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
EEDC,2026-03,YES,2026-03,EEDC MYTO MARCH 2026,EEDC_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EEDC_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
EKEDP,2026-03,YES,2026-03,EKEDP MYTO MARCH 2026,EKEDP_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EKEDP_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
IBEDC,2026-03,YES,2026-03,IBEDC MYTO MARCH 2026,IBEDC_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IBEDC_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
IE,2026-03,YES,2026-03,IE MYTO MARCH 2026,IE_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IE_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
JED,2026-03,YES,2026-03,JED MYTO MARCH 2026,JED_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/JED_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
KAEDC,2026-03,YES,2026-03,KAEDC MYTO MARCH 2026,KAEDC_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KAEDC_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
KEDCO,2026-03,YES,2026-03,KEDCO MYTO MARCH 2026,KEDCO_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KEDCO_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
PHED,2026-03,YES,2026-03,PHED MYTO MARCH 2026,PHED_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/PHED_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
YEDC,2026-03,YES,2026-03,YEDC MYTO MARCH 2026,YEDC_MYTO_MAR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/YEDC_MYTO_MAR_2026.pdf,"NERC website publication date: March 1, 2026"
AEDC,2026-04,YES,2026-04,AEDC MYTO APRIL 2026,AEDC_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/AEDC_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
BEDC,2026-04,YES,2026-04,BEDC MYTO APRIL 2026,BEDC_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/BEDC_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
EEDC,2026-04,YES,2026-04,EEDC MYTO APRIL 2026,EEDC_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EEDC_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
EKEDP,2026-04,YES,2026-04,EKEDP MYTO APRIL 2026,EKEDP_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/EKEDP_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
IBEDC,2026-04,YES,2026-04,IBEDC MYTO APRIL 2026,IBEDC_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IBEDC_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
IE,2026-04,YES,2026-04,IE MYTO APRIL 2026,IE_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/IE_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
JED,2026-04,YES,2026-04,JED MYTO APRIL 2026,JED_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/JED_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
KAEDC,2026-04,YES,2026-04,KAEDC MYTO APRIL 2026,KAEDC_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KAEDC_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
KEDCO,2026-04,YES,2026-04,KEDCO MYTO APRIL 2026,KEDCO_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/KEDCO_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
PHED,2026-04,YES,2026-04,PHED MYTO APRIL 2026,PHED_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/PHED_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
YEDC,2026-04,YES,2026-04,YEDC MYTO APRIL 2026,YEDC_MYTO_APR_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/04/YEDC_MYTO_APR_2026.pdf,"NERC website publication date: April 1, 2026"
AEDC,2026-05,YES,2026-05,AEDC MYTO MAY 2026,AEDC_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/AEDC_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
BEDC,2026-05,YES,2026-05,BEDC MYTO MAY 2026,BEDC_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/BEDC_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
EEDC,2026-05,YES,2026-05,EEDC MYTO MAY 2026,EEDC_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/EEDC_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
EKEDP,2026-05,YES,2026-05,EKEDP MYTO MAY 2026,EKEDP_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/EKEDP_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
IBEDC,2026-05,YES,2026-05,IBEDC MYTO MAY 2026,IBEDC_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/IBEDC_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
IE,2026-05,YES,2026-05,IE MYTO MAY 2026,IE_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/IE_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
JED,2026-05,YES,2026-05,JED MYTO MAY 2026,JED_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/JED_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
KAEDC,2026-05,YES,2026-05,KAEDC MYTO MAY 2026,KAEDC_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/KAEDC_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
KEDCO,2026-05,YES,2026-05,KEDCO MYTO MAY 2026,KEDCO_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/KEDCO_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
PHED,2026-05,YES,2026-05,PHED MYTO MAY 2026,PHED_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/PHED_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
YEDC,2026-05,YES,2026-05,YEDC MYTO MAY 2026,YEDC_MYTO_MAY_2026.pdf,https://nerc.gov.ng/wp-content/uploads/2026/05/YEDC_MYTO_MAY_2026.pdf,"NERC website publication date: May 13, 2026"
APLE,2025-02,YES,2025-02,APLE MYTO FEBRUARY 2025,APLE-MYTO_-FEB-2025_014.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/APLE-MYTO_-FEB-2025_014.pdf,"NERC website publication date: February 19, 2025; NOTE: APLE (Aba Power) is NOT part of NERC's regular monthly MYTO cycle in this window - order present only for this month"
